Word,Count
char,4
файла,4
и,4
\.h,\,3
предварительные,3
А,3
FileName;,3
контент,3
в,3
уже,3
находятся,3
это,3
все,3
объявления,3
где,3
int,2
файл,2
имя,1
freq;,1
–,1
Здесь,1
brend;,1
начинается,1
\in.read((char*)&x,sizeof\,1
только,1
режиме,1
оттуда,1
любое,1
используют,1
двоичном,1
качестве,1
X,1
  ,1
уникальное,1
идентификатора,1
для,1
\fp("\proc.txt"\,ios::binary|ios::in);\,1
//Открываем,1
заголовочного,1
=,1
string,1
этого,1
guard.  ADD_H,1
header,1
её,1
x);,1
ifstream,1
//Закрываем,1
cin>>FileName;,1
//Читаем,1
in.close();,1
price;,1
чтения,1
model;,1
File,1
имя. Обычно,1
Check();,1
информацию,1
const,1
запоминаем,1
,1
